kod_obec,naz_obec,kod_okres,naz_okres,kod_kraj,naz_kraj,Ekonomický index,econ_aktivita_norm,econ_velikost_norm,econ_diverzita_norm,pocet_gridu
500011,Želechovice nad Dřevnicí,40851,Zlín,3131,Zlínský kraj,0.400213,0.001301,0.001227,0.410714,32.0
500020,Petrov nad Desnou,40819,Šumperk,3123,Olomoucký kraj,0.333497,0.000725,0.000346,0.344156,22.0
500046,Libhošť,40894,Nový Jičín,3140,Moravskoslezský kraj,0.278649,0.001309,0.000345,0.285714,18.0
500062,Krhová,40843,Vsetín,3131,Zlínský kraj,0.517267,0.00189,0.000633,0.531746,18.0
500071,Poličná,40843,Vsetín,3131,Zlínský kraj,0.277489,0.000852,0.000302,0.285714,22.0
500101,Bražec,40436,Karlovy Vary,3051,Karlovarský kraj,0.036984,0.000122,1.5e-05,0.038095,30.0
500127,Doupovské Hradiště,40436,Karlovy Vary,3051,Karlovarský kraj,0.108416,0.000125,5.5e-05,0.112245,42.0
500135,Kozlov,40789,Olomouc,3123,Olomoucký kraj,0.055584,9.6e-05,3.9e-05,0.057453,92.0
500151,Luboměř pod Strážnou,40801,Přerov,3123,Olomoucký kraj,0.053626,4.9e-05,2.5e-05,0.055556,18.0
500160,Město Libavá,40789,Olomouc,3123,Olomoucký kraj,0.049044,9.1e-05,2.4e-05,0.050691,62.0
500194,Polná na Šumavě,40291,Český Krumlov,3034,Jihočeský kraj,0.044843,4.8e-05,2.8e-05,0.046429,40.0
500259,Veřovice,40894,Nový Jičín,3140,Moravskoslezský kraj,0.216,0.000863,0.000302,0.221804,38.0
500291,Vřesina,40916,Ostrava-město,3140,Moravskoslezský kraj,0.559218,0.003321,0.00085,0.571429,20.0
500496,Olomouc,40789,Olomouc,3123,Olomoucký kraj,0.610827,0.011487,0.007113,0.595238,204.0
500526,Bělkovice-Lašťany,40789,Olomouc,3123,Olomoucký kraj,0.313708,0.001647,0.000256,0.321428,24.0
500623,Bílá Lhota,40789,Olomouc,3123,Olomoucký kraj,0.288582,0.000501,0.00017,0.298319,34.0
500801,Blatec,40789,Olomouc,3123,Olomoucký kraj,0.277792,0.00098,0.000301,0.285714,14.0
500852,Bohuňovice,40789,Olomouc,3123,Olomoucký kraj,0.324729,0.001715,0.000972,0.331633,28.0
500861,Bouzov,40789,Olomouc,3123,Olomoucký kraj,0.145039,0.000294,8.7e-05,0.149826,82.0
500879,Bystročice,40789,Olomouc,3123,Olomoucký kraj,0.248758,0.001411,0.000637,0.253968,18.0
501476,Dlouhá Loučka,40789,Olomouc,3123,Olomoucký kraj,0.172211,0.000526,0.000177,0.17734,58.0
501646,Dolany,40789,Olomouc,3123,Olomoucký kraj,0.2622,0.001075,0.000331,0.269231,52.0
501751,Drahanovice,40789,Olomouc,3123,Olomoucký kraj,0.378205,0.000967,0.000276,0.39011,26.0
501794,Dub nad Moravou,40789,Olomouc,3123,Olomoucký kraj,0.143851,0.000623,0.000185,0.147619,30.0
501841,Grygov,40789,Olomouc,3123,Olomoucký kraj,0.196754,0.000936,0.000521,0.201299,22.0
502146,Hlubočky,40789,Olomouc,3123,Olomoucký kraj,0.306475,0.001014,0.000628,0.314935,44.0
502235,Hněvotín,40789,Olomouc,3123,Olomoucký kraj,0.25513,0.001556,0.000961,0.25974,22.0
502405,Hnojice,40789,Olomouc,3123,Olomoucký kraj,0.186687,0.000541,0.000199,0.192308,26.0
502545,Horka nad Moravou,40789,Olomouc,3123,Olomoucký kraj,0.368426,0.001939,0.000874,0.376623,22.0
502839,Cholina,40789,Olomouc,3123,Olomoucký kraj,0.154611,0.000634,0.000214,0.15873,18.0
503142,Jívová,40789,Olomouc,3123,Olomoucký kraj,0.181003,0.000441,9.1e-05,0.186813,26.0
503304,Kožušany-Tážaly,40789,Olomouc,3123,Olomoucký kraj,0.269163,0.000951,0.000324,0.276786,16.0
503410,Žitovlice,40231,Nymburk,3026,Středočeský kraj,0.262079,0.000319,4.4e-05,0.271428,10.0
503444,Litovel,40789,Olomouc,3123,Olomoucký kraj,0.298491,0.001506,0.000862,0.30506,96.0
503622,Luká,40789,Olomouc,3123,Olomoucký kraj,0.244076,0.000473,0.0002,0.252101,34.0
503657,Lutín,40789,Olomouc,3123,Olomoucký kraj,0.388754,0.00213,0.001647,0.396104,22.0
503738,Majetín,40789,Olomouc,3123,Olomoucký kraj,0.108955,0.000709,0.00021,0.111111,18.0
503916,Kostelec,40410,Tachov,3042,Plzeňský kraj,0.119326,0.000172,0.000261,0.123153,58.0
503941,Libavá,40789,Olomouc,3123,Olomoucký kraj,0.009519,9e-06,4e-06,0.009863,478.0
504246,Mladeč,40789,Olomouc,3123,Olomoucký kraj,0.220591,0.000583,0.000303,0.227273,22.0
504301,Dřenice,40614,Chrudim,3093,Pardubický kraj,0.371131,0.001404,0.000752,0.380952,6.0
504441,Náklo,40789,Olomouc,3123,Olomoucký kraj,0.302923,0.000966,0.000413,0.311688,22.0
504505,Náměšť na Hané,40789,Olomouc,3123,Olomoucký kraj,0.256218,0.001006,0.000352,0.263158,38.0
504785,Paseka,40789,Olomouc,3123,Olomoucký kraj,0.189627,0.000412,0.000223,0.195652,46.0
504807,Lány,40614,Chrudim,3093,Pardubický kraj,0.277143,0.00073,0.000268,0.285714,8.0
504921,Třibřichy,40614,Chrudim,3093,Pardubický kraj,0.304232,0.000591,0.000214,0.314286,10.0
504955,Dvakačovice,40614,Chrudim,3093,Pardubický kraj,0.3238,0.001166,0.000111,0.333333,6.0
505005,Bítovany,40614,Chrudim,3093,Pardubický kraj,0.381045,0.000959,0.000425,0.392857,8.0
505013,Příkazy,40789,Olomouc,3123,Olomoucký kraj,0.217275,0.000636,0.000227,0.22381,30.0
505030,Dolní Bezděkov,40614,Chrudim,3093,Pardubický kraj,0.415387,0.000962,0.000394,0.428572,6.0
505081,Senice na Hané,40789,Olomouc,3123,Olomoucký kraj,0.24088,0.000711,0.000391,0.247899,34.0
505099,Červená Hora,40584,Náchod,3085,Královéhradecký kraj,0.586615,0.000798,0.000222,0.607143,4.0
505111,Slatinice,40789,Olomouc,3123,Olomoucký kraj,0.452549,0.001726,0.001054,0.464286,12.0
505145,Březová nad Svitavou,40631,Svitavy,3093,Pardubický kraj,0.302004,0.000868,0.000248,0.311225,28.0
505161,Štěpánov,40789,Olomouc,3123,Olomoucký kraj,0.258181,0.001207,0.000448,0.26455,54.0
505188,Šternberk,40789,Olomouc,3123,Olomoucký kraj,0.235481,0.002188,0.00105,0.237609,98.0
505218,Šumvald,40789,Olomouc,3123,Olomoucký kraj,0.230485,0.000446,0.000171,0.238095,42.0
505269,Těšetice,40789,Olomouc,3123,Olomoucký kraj,0.30928,0.001047,0.000353,0.318182,22.0
505293,Troubelice,40789,Olomouc,3123,Olomoucký kraj,0.303606,0.000779,0.000375,0.312925,42.0
505366,Tršice,40789,Olomouc,3123,Olomoucký kraj,0.228334,0.000618,0.000157,0.23545,54.0
505391,Bělá u Jevíčka,40631,Svitavy,3093,Pardubický kraj,0.145708,0.000177,9.9e-05,0.150794,18.0
505501,Újezd,40789,Olomouc,3123,Olomoucký kraj,0.280776,0.000583,0.000228,0.289916,34.0
505528,Jenčice,40479,Litoměřice,3069,Ústecký kraj,0.190007,0.000327,0.000111,0.196428,16.0
505587,Uničov,40789,Olomouc,3123,Olomoucký kraj,0.255159,0.001498,0.000903,0.26,100.0
505609,Velká Bystřice,40789,Olomouc,3123,Olomoucký kraj,0.431542,0.003584,0.001922,0.436508,18.0
505650,Velký Týnec,40789,Olomouc,3123,Olomoucký kraj,0.335364,0.001582,0.000625,0.343537,42.0
505668,Velký Újezd,40789,Olomouc,3123,Olomoucký kraj,0.555233,0.001718,0.000761,0.571429,10.0
505781,Zápy,40240,Praha-východ,3026,Středočeský kraj,0.310618,0.00146,0.001072,0.31746,18.0
505862,Žerotín,40789,Olomouc,3123,Olomoucký kraj,0.197808,0.000466,0.00018,0.204082,14.0
505927,Opava,40908,Opava,3140,Moravskoslezský kraj,0.416185,0.005003,0.002825,0.415654,188.0
506192,Bohuslavice,40908,Opava,3140,Moravskoslezský kraj,0.261829,0.001025,0.000374,0.268908,34.0
506214,Bolatice,40908,Opava,3140,Moravskoslezský kraj,0.415093,0.002423,0.001159,0.423469,28.0
506320,Brumovice,40908,Opava,3140,Moravskoslezský kraj,0.174627,0.000428,0.000241,0.18,50.0
506451,Březová,40908,Opava,3140,Moravskoslezský kraj,0.138408,0.00029,0.000146,0.142857,76.0
506460,Budišov nad Budišovkou,40908,Opava,3140,Moravskoslezský kraj,0.066716,0.000198,0.000114,0.068646,154.0
506486,Boží Dar,40436,Karlovy Vary,3051,Karlovarský kraj,0.03773,0.000163,0.000121,0.03861,74.0
506494,Nové Hamry,40436,Karlovy Vary,3051,Karlovarský kraj,0.081707,0.000159,5e-05,0.084416,44.0
506621,Čichalov,40436,Karlovy Vary,3051,Karlovarský kraj,0.166542,0.000136,4.6e-05,0.172619,24.0
506664,Skořice,40401,Rokycany,3042,Plzeňský kraj,0.039025,6.1e-05,1.4e-05,0.040373,46.0
506699,Otmarov,40720,Brno-venkov,3115,Jihomoravský kraj,0.347039,0.00129,0.00013,0.357143,4.0
506702,Dolní Benešov,40908,Opava,3140,Moravskoslezský kraj,0.400266,0.001874,0.001102,0.409524,30.0
506711,Dolní Lhota,40916,Ostrava-město,3140,Moravskoslezský kraj,0.629144,0.003693,0.001044,0.642857,8.0
506729,Dvorce,40665,Jihlava,3107,Kraj Vysočina,0.241439,0.000238,0.000166,0.25,8.0
506737,Chvalčov,40827,Kroměříž,3131,Zlínský kraj,0.20548,0.000787,0.000223,0.21118,46.0
506753,Háj ve Slezsku,40908,Opava,3140,Moravskoslezský kraj,0.449363,0.001623,0.000604,0.461905,30.0
506761,Alojzov,40797,Prostějov,3123,Olomoucký kraj,0.277094,0.000705,0.000277,0.285714,8.0
506770,Seloutky,40797,Prostějov,3123,Olomoucký kraj,0.217593,0.000529,0.000174,0.22449,14.0
507016,Hlučín,40908,Opava,3140,Moravskoslezský kraj,0.51681,0.005137,0.002463,0.520408,42.0
507091,Nýdek,40878,Frýdek-Místek,3140,Moravskoslezský kraj,0.23486,0.000574,0.000153,0.242347,56.0
507105,Hněvošice,40908,Opava,3140,Moravskoslezský kraj,0.357025,0.001271,0.000275,0.367347,14.0
507113,Holasovice,40908,Opava,3140,Moravskoslezský kraj,0.2568,0.000633,0.000346,0.264706,34.0
507181,Pržno,40878,Frýdek-Místek,3140,Moravskoslezský kraj,0.904862,0.003271,0.002243,0.928572,6.0
507237,Komorní Lhotka,40878,Frýdek-Místek,3140,Moravskoslezský kraj,0.32084,0.000715,0.000255,0.331169,44.0
507261,Hrabyně,40908,Opava,3140,Moravskoslezský kraj,0.364393,0.001108,0.000545,0.375,16.0
507270,Hradec nad Moravicí,40908,Opava,3140,Moravskoslezský kraj,0.282903,0.001027,0.000438,0.290698,86.0
507334,Chuchelná,40908,Opava,3140,Moravskoslezský kraj,0.366939,0.001106,0.000613,0.377551,14.0
507377,Jakartovice,40908,Opava,3140,Moravskoslezský kraj,0.093815,0.000154,3.5e-05,0.097035,106.0
507423,Janovice,40878,Frýdek-Místek,3140,Moravskoslezský kraj,0.522306,0.001476,0.000336,0.538461,26.0
507458,Košařiska,40878,Frýdek-Místek,3140,Moravskoslezský kraj,0.098031,0.000125,2.1e-05,0.101504,38.0
507504,Kobeřice,40908,Opava,3140,Moravskoslezský kraj,0.286734,0.001404,0.000497,0.293651,36.0
507547,Milíkov,40878,Frýdek-Místek,3140,Moravskoslezský kraj,0.468834,0.001011,0.000296,0.484127,18.0
507580,Kravaře,40908,Opava,3140,Moravskoslezský kraj,0.324093,0.003106,0.001259,0.327068,38.0
507610,Doňov,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.103531,0.000153,2.8e-05,0.107143,8.0
507628,Pleše,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.099908,0.000181,0.000115,0.103175,18.0
507644,Újezdec,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.068997,0.000102,0.0,0.071428,12.0
507652,Višňová,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.082939,0.000156,4.4e-05,0.085714,10.0
507695,Záhoří,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.2305,0.000464,0.000148,0.238095,6.0
507717,Peč,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.126612,0.000209,4.5e-05,0.130952,36.0
507733,Březina,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.077693,0.000136,1.4e-05,0.080357,16.0
507784,Ratiboř,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.08636,0.00015,4.3e-05,0.089286,24.0
507920,Litultovice,40908,Opava,3140,Moravskoslezský kraj,0.256146,0.00056,0.000292,0.264286,20.0
507971,Ludgeřovice,40908,Opava,3140,Moravskoslezský kraj,0.576384,0.004779,0.00165,0.584416,22.0
508004,Roseč,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.138485,0.00034,0.000117,0.142857,12.0
508128,Markvartovice,40908,Opava,3140,Moravskoslezský kraj,0.428404,0.002193,0.00056,0.438776,14.0
508144,Melč,40908,Opava,3140,Moravskoslezský kraj,0.175141,0.000285,0.0002,0.180952,30.0
508152,Střížovice,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.172812,0.000241,0.000248,0.178571,20.0
508357,Kostelní Vydří,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.149525,0.000209,4.3e-05,0.154762,12.0
508373,Mokré Lazce,40908,Opava,3140,Moravskoslezský kraj,0.25091,0.001199,0.000362,0.257143,20.0
508501,Lužnice,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.156036,0.000473,0.000145,0.160714,24.0
508683,Záblatí,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.062057,6.8e-05,1.5e-05,0.064286,20.0
509078,Plavsko,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.28914,0.00054,0.000235,0.298701,22.0
509108,Kostelní Radouň,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.333526,0.000447,0.000111,0.345238,12.0
509116,Červený Hrádek,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.059175,9.2e-05,1.6e-05,0.061224,14.0
509141,Dvory nad Lužnicí,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.103536,0.000153,2.9e-05,0.107143,28.0
509191,Cep,40304,Jindřichův Hradec,3034,Jihočeský kraj,0.037485,6.2e-05,8e-06,0.038776,70.0
509388,Arneštovice,40673,Pelhřimov,3107,Kraj Vysočina,0.069122,0.000136,3.1e-05,0.071428,12.0
509418,Bořetín,40673,Pelhřimov,3107,Kraj Vysočina,0.220836,0.000299,8.1e-05,0.228572,10.0
509574,Oldřišov,40908,Opava,3140,Moravskoslezský kraj,0.149029,0.000826,0.000259,0.152381,30.0
509612,Otice,40908,Opava,3140,Moravskoslezský kraj,0.533413,0.003178,0.002262,0.542857,10.0
509621,Předotice,40312,Písek,3034,Jihočeský kraj,0.222636,0.00027,7.7e-05,0.230519,44.0
509647,Píšť,40908,Opava,3140,Moravskoslezský kraj,0.256627,0.001008,0.000476,0.263393,32.0
509736,Pustá Polom,40908,Opava,3140,Moravskoslezský kraj,0.203992,0.000631,0.000185,0.210084,34.0
509752,Křižanov,40312,Písek,3034,Jihočeský kraj,0.241371,0.000289,3.7e-05,0.25,4.0
509841,Raduň,40908,Opava,3140,Moravskoslezský kraj,0.218199,0.00118,0.000356,0.223214,16.0
510068,Čečelovice,40339,Strakonice,3034,Jihočeský kraj,0.187283,0.000272,1.6e-05,0.193878,14.0
510131,Skřipov,40908,Opava,3140,Moravskoslezský kraj,0.155617,0.000336,8.5e-05,0.160714,40.0
510289,Slavkov,40908,Opava,3140,Moravskoslezský kraj,0.385828,0.001578,0.000541,0.396104,22.0
510297,Služovice,40908,Opava,3140,Moravskoslezský kraj,0.403413,0.001671,0.000444,0.414286,10.0
510343,Stěbořice,40908,Opava,3140,Moravskoslezský kraj,0.230928,0.00063,0.00017,0.238095,36.0
510378,Sudice,40908,Opava,3140,Moravskoslezský kraj,0.14592,0.000564,0.000129,0.15,20.0
510432,Šilheřovice,40908,Opava,3140,Moravskoslezský kraj,0.16144,0.00074,0.000311,0.165414,38.0
510483,Štěpánkovice,40908,Opava,3140,Moravskoslezský kraj,0.375419,0.001836,0.00056,0.384616,26.0
510491,Štítina,40908,Opava,3140,Moravskoslezský kraj,0.701235,0.004211,0.002496,0.714286,4.0
510556,Láz,40681,Třebíč,3107,Kraj Vysočina,0.08279,0.000102,3e-05,0.085714,10.0
510645,Kojatín,40681,Třebíč,3107,Kraj Vysočina,0.184175,0.000328,3.7e-05,0.190476,6.0
510882,Velká Polom,40916,Ostrava-město,3140,Moravskoslezský kraj,0.349426,0.001936,0.000706,0.357143,22.0
510891,Velké Heraltice,40908,Opava,3140,Moravskoslezský kraj,0.144327,0.00038,0.000126,0.14881,72.0
510939,Velké Hoštice,40908,Opava,3140,Moravskoslezský kraj,0.480769,0.002479,0.000826,0.492064,18.0
510980,Ocmanice,40681,Třebíč,3107,Kraj Vysočina,0.099282,0.000383,0.0001,0.102041,14.0
511021,Vítkov,40908,Opava,3140,Moravskoslezský kraj,0.173457,0.000696,0.000384,0.177898,106.0
511081,Sedlec,40681,Třebíč,3107,Kraj Vysočina,0.138138,0.000231,5.5e-05,0.142857,20.0
511161,Vršovice,40908,Opava,3140,Moravskoslezský kraj,0.173678,0.000683,0.000111,0.178571,16.0
511242,Vícenice u Náměště nad Oslavou,40681,Třebíč,3107,Kraj Vysočina,0.290439,0.000618,0.00014,0.3,10.0
511307,Rácovice,40681,Třebíč,3107,Kraj Vysočina,0.115101,0.000192,3.7e-05,0.119048,12.0
511382,Přerov,40801,Přerov,3123,Olomoucký kraj,0.476322,0.005209,0.002985,0.477381,120.0
511412,Oslavička,40690,Žďár nad Sázavou,3107,Kraj Vysočina,0.137835,0.00011,4.6e-05,0.142857,8.0
511587,Josefov,40444,Sokolov,3051,Karlovarský kraj,0.275867,0.000318,6.9e-05,0.285714,16.0
