kod_kraj,kraj,kod_okresu,okres,Index ceny,Cena za m2
CZ010,Hlavní město Praha,CZ0100,Praha,0.10465422637662233,106753
CZ010,Hlavní město Praha,CZ0100,Praha,0.0,115889
CZ020,Středočeský kraj,CZ0201,Benešov,0.7302083691306689,52144
CZ020,Středočeský kraj,CZ0201,Benešov,0.6930020504713793,55392
CZ020,Středočeský kraj,CZ0202,Beroun,0.739601589974455,51324
CZ020,Středočeský kraj,CZ0202,Beroun,0.6409154953778481,59939
CZ020,Středočeský kraj,CZ0203,Kladno,0.6425650365991958,59795
CZ020,Středočeský kraj,CZ0203,Kladno,0.5862973527154427,64707
CZ020,Středočeský kraj,CZ0204,Kolín,0.7805422866765181,47750
CZ020,Středočeský kraj,CZ0204,Kolín,0.6983401491460187,54926
CZ020,Středočeský kraj,CZ0205,Kutná Hora,0.7346071457209297,51760
CZ020,Středočeský kraj,CZ0205,Kutná Hora,0.7642988877051903,49168
CZ020,Středočeský kraj,CZ0206,Mělník,0.6958200167245152,55146
CZ020,Středočeský kraj,CZ0206,Mělník,0.6337789385660446,60562
CZ020,Středočeský kraj,CZ0207,Mladá Boleslav,0.733690733931292,51840
CZ020,Středočeský kraj,CZ0207,Mladá Boleslav,0.6914441504289953,55528
CZ020,Středočeský kraj,CZ0208,Nymburk,0.7689153120954901,48765
CZ020,Středočeský kraj,CZ0208,Nymburk,0.6568037847806912,58552
CZ020,Středočeský kraj,CZ0209,Praha-východ,0.2747631648281155,91903
CZ020,Středočeský kraj,CZ0209,Praha-východ,0.6472501918737185,59386
CZ020,Středočeský kraj,CZ020A,Praha-západ,0.2903765306940674,90540
CZ020,Středočeský kraj,CZ020A,Praha-západ,0.6612942025499158,58160
CZ020,Středočeský kraj,CZ020B,Příbram,0.8005658842801012,46002
CZ020,Středočeský kraj,CZ020B,Příbram,0.735076806763119,51719
CZ020,Středočeský kraj,CZ020C,Rakovník,0.78472341546674,47385
CZ020,Středočeský kraj,CZ020C,Rakovník,0.7998671202905026,46063
CZ031,Jihočeský kraj,CZ0311,České Budějovice,0.6936435387241257,55336
CZ031,Jihočeský kraj,CZ0311,České Budějovice,0.6459557602208552,59499
CZ031,Jihočeský kraj,CZ0312,Český Krumlov,0.7776784998339004,48000
CZ031,Jihočeský kraj,CZ0312,Český Krumlov,0.8399257706450394,42566
CZ031,Jihočeský kraj,CZ0313,Jindřichův Hradec,0.837096349244533,42813
CZ031,Jihočeský kraj,CZ0313,Jindřichův Hradec,0.8340836454860991,43076
CZ031,Jihočeský kraj,CZ0314,Písek,0.7647800038947501,49126
CZ031,Jihočeský kraj,CZ0314,Písek,0.7771401079074882,48047
CZ031,Jihočeský kraj,CZ0315,Prachatice,0.7926160120049944,46696
CZ031,Jihočeský kraj,CZ0315,Prachatice,0.8951395809707092,37746
CZ031,Jihočeský kraj,CZ0316,Strakonice,0.7583765765146568,49685
CZ031,Jihočeský kraj,CZ0316,Strakonice,0.8293068490326128,43493
CZ031,Jihočeský kraj,CZ0317,Tábor,0.8266950754321455,43721
CZ031,Jihočeský kraj,CZ0317,Tábor,0.851300731983917,41573
CZ032,Plzeňský kraj,CZ0321,Domažlice,0.8823556365052636,38862
CZ032,Plzeňský kraj,CZ0321,Domažlice,0.8663298853339748,40261
CZ032,Plzeňský kraj,CZ0322,Klatovy,0.8839020814002773,38727
CZ032,Plzeňský kraj,CZ0322,Klatovy,0.826488882779477,43739
CZ032,Plzeňský kraj,CZ0323,Plzeň-město,0.6122318063621889,62443
CZ032,Plzeňský kraj,CZ0323,Plzeň-město,0.5971911978647605,63756
CZ032,Plzeňský kraj,CZ0324,Plzeň-jih,0.8445765604774506,42160
CZ032,Plzeňský kraj,CZ0324,Plzeň-jih,0.8163854427987216,44621
CZ032,Plzeňský kraj,CZ0325,Plzeň-sever,0.81683219354617,44582
CZ032,Plzeňský kraj,CZ0325,Plzeň-sever,0.7975531805216675,46265
CZ032,Plzeňský kraj,CZ0326,Rokycany,0.8356071800863718,42943
CZ032,Plzeňský kraj,CZ0326,Rokycany,0.7820658212767907,47617
CZ032,Plzeňský kraj,CZ0327,Tachov,0.8449087597511942,42131
CZ032,Plzeňský kraj,CZ0327,Tachov,0.8848872240741377,38641
CZ041,Karlovarský kraj,CZ0411,Cheb,0.9038569481196376,36985
CZ041,Karlovarský kraj,CZ0411,Cheb,0.9261028443130921,35043
CZ041,Karlovarský kraj,CZ0412,Karlovy Vary,0.7637146751892963,49219
