kod_obec,naz_obec,kod_okres,naz_okres,kod_kraj,naz_kraj,Kvalita ovzduší
500011,Želechovice nad Dřevnicí,40851,Zlín,3131,Zlínský kraj,0.243215
500020,Petrov nad Desnou,40819,Šumperk,3123,Olomoucký kraj,0.400379
500046,Libhošť,40894,Nový Jičín,3140,Moravskoslezský kraj,0.246581
500062,Krhová,40843,Vsetín,3131,Zlínský kraj,0.235009
500071,Poličná,40843,Vsetín,3131,Zlínský kraj,0.235009
500101,Bražec,40436,Karlovy Vary,3051,Karlovarský kraj,0.408794
500127,Doupovské Hradiště,40436,Karlovy Vary,3051,Karlovarský kraj,0.409846
500135,Kozlov,40789,Olomouc,3123,Olomoucký kraj,0.257732
500151,Luboměř pod Strážnou,40801,Přerov,3123,Olomoucký kraj,0.365874
500160,Město Libavá,40789,Olomouc,3123,Olomoucký kraj,0.371134
500194,Polná na Šumavě,40291,Český Krumlov,3034,Jihočeský kraj,0.44372
500259,Veřovice,40894,Nový Jičín,3140,Moravskoslezský kraj,0.209762
500291,Vřesina,40916,Ostrava-město,3140,Moravskoslezský kraj,0.241952
500496,Olomouc,40789,Olomouc,3123,Olomoucký kraj,0.19777
500526,Bělkovice-Lašťany,40789,Olomouc,3123,Olomoucký kraj,0.213339
500623,Bílá Lhota,40789,Olomouc,3123,Olomoucký kraj,0.42773
500801,Blatec,40789,Olomouc,3123,Olomoucký kraj,0.304439
500852,Bohuňovice,40789,Olomouc,3123,Olomoucký kraj,0.179886
500861,Bouzov,40789,Olomouc,3123,Olomoucký kraj,0.42773
500879,Bystročice,40789,Olomouc,3123,Olomoucký kraj,0.19777
501476,Dlouhá Loučka,40789,Olomouc,3123,Olomoucký kraj,0.414265
501646,Dolany,40789,Olomouc,3123,Olomoucký kraj,0.231433
501751,Drahanovice,40789,Olomouc,3123,Olomoucký kraj,0.196297
501794,Dub nad Moravou,40789,Olomouc,3123,Olomoucký kraj,0.314117
501841,Grygov,40789,Olomouc,3123,Olomoucký kraj,0.279402
502146,Hlubočky,40789,Olomouc,3123,Olomoucký kraj,0.231433
502235,Hněvotín,40789,Olomouc,3123,Olomoucký kraj,0.19777
502405,Hnojice,40789,Olomouc,3123,Olomoucký kraj,0.179886
502545,Horka nad Moravou,40789,Olomouc,3123,Olomoucký kraj,0.179886
502839,Cholina,40789,Olomouc,3123,Olomoucký kraj,0.42773
503142,Jívová,40789,Olomouc,3123,Olomoucký kraj,0.371134
503304,Kožušany-Tážaly,40789,Olomouc,3123,Olomoucký kraj,0.304439
503410,Žitovlice,40231,Nymburk,3026,Středočeský kraj,0.456343
503444,Litovel,40789,Olomouc,3123,Olomoucký kraj,0.42773
503622,Luká,40789,Olomouc,3123,Olomoucký kraj,0.42773
503657,Lutín,40789,Olomouc,3123,Olomoucký kraj,0.196297
503738,Majetín,40789,Olomouc,3123,Olomoucký kraj,0.231433
503916,Kostelec,40410,Tachov,3042,Plzeňský kraj,0.463918
504246,Mladeč,40789,Olomouc,3123,Olomoucký kraj,0.42773
504301,Dřenice,40614,Chrudim,3093,Pardubický kraj,0.426678
504441,Náklo,40789,Olomouc,3123,Olomoucký kraj,0.179886
504505,Náměšť na Hané,40789,Olomouc,3123,Olomoucký kraj,0.179886
504785,Paseka,40789,Olomouc,3123,Olomoucký kraj,0.179886
504807,Lány,40614,Chrudim,3093,Pardubický kraj,0.426678
504921,Třibřichy,40614,Chrudim,3093,Pardubický kraj,0.426678
504955,Dvakačovice,40614,Chrudim,3093,Pardubický kraj,0.443089
505005,Bítovany,40614,Chrudim,3093,Pardubický kraj,0.426678
505013,Příkazy,40789,Olomouc,3123,Olomoucký kraj,0.179886
505030,Dolní Bezděkov,40614,Chrudim,3093,Pardubický kraj,0.426678
505081,Senice na Hané,40789,Olomouc,3123,Olomoucký kraj,0.179886
505099,Červená Hora,40584,Náchod,3085,Královéhradecký kraj,0.478855
505111,Slatinice,40789,Olomouc,3123,Olomoucký kraj,0.196297
505145,Březová nad Svitavou,40631,Svitavy,3093,Pardubický kraj,0.273722
505161,Štěpánov,40789,Olomouc,3123,Olomoucký kraj,0.179886
505188,Šternberk,40789,Olomouc,3123,Olomoucký kraj,0.371134
505218,Šumvald,40789,Olomouc,3123,Olomoucký kraj,0.414265
