"Ukazatel","IndicatorType","Takticko statistická klasifikace kriminality Police ČR","TSKKC","Území","Uz02","Roky","CasR","Hodnota"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2000","2000","391469"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2001","2001","358577"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2002","2002","372341"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2003","2003","357740"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2004","2004","351629"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2005","2005","344060"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2006","2006","336446"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2007","2007","357391"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2008","2008","343799"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2009","2009","332829"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2010","2010","313387"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2011","2011","317177"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2012","2012","304528"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2013","2013","325366"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2014","2014","288660"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2015","2015","247628"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2016","2016","218162"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2017","2017","202303"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2018","2018","192405"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2019","2019","199221"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2020","2020","165525"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2021","2021","153233"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2022","2022","181991"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2023","2023","181417"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Česko","CZ","2024","2024","173322"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2005","2005","95731"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2006","2006","89618"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2007","2007","87319"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2008","2008","83125"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2009","2009","84133"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2010","2010","74028"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2011","2011","74122"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2012","2012","72345"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2013","2013","82005"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2014","2014","71828"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2015","2015","64095"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Hlavní město Praha","CZ010","2016","2016","56432"
