kod_obec,naz_obec,lau1,kod_okres,naz_okres,nuts3_kraj,kod_kraj,naz_kraj,platiod,neplatipo,pocobyev,pocbyt,pocbytob,vymera,Ekonomický index,Index ceny,Cena za m2,Kvalita ovzduší,index,stanice_kmpl,stanice_nazev,typ_prirazeni_stanice,vzdalenost_zakladni_stanice_km,pm25,index_pm25,zdroj_pm25,stanice_pm25,pm10,index_pm10,zdroj_pm10,stanice_pm10,no2,index_no2,zdroj_no2,stanice_no2,so2,index_so2,zdroj_so2,stanice_so2,index_max,index_prumer,vysledny_index,hlavni_latka,kategorie_ovzdusi
500011,Želechovice nad Dřevnicí,CZ0724,40851,Zlín,CZ072,3131,Zlínský kraj,1230768000000,253392451200000,1926,857,659,16025891,0.4,0.723,52748.5,0.833,0.652,ZZZSA,Zlín - ZŠ Kvítkova,nejblizsi,6.01,14.4,57.6,zakladni,ZZZSA,19.2,48.0,zakladni,ZZZSA,17.0,42.5,zakladni,ZZZSA,4.7,23.5,blizka_stanice,ZZLNA,57.6,42.9,50.25,pm25,mirne zhorsene
500020,Petrov nad Desnou,CZ0715,40819,Šumperk,CZ071,3123,Olomoucký kraj,1262304000000,253392451200000,1182,538,428,12086972,0.333,0.859,40913.5,,0.596,MNMAM,Nový Malín,nejblizsi,6.1,11.9,47.6,zakladni,MNMAM,16.9,42.25,zakladni,MNMAM,12.8,32.0,blizka_stanice,MSMSA,6.0,30.0,blizka_stanice,TMMOA,47.6,37.96,42.78,pm25,dobre
500046,Libhošť,CZ0804,40894,Nový Jičín,CZ080,3140,Moravskoslezský kraj,1293840000000,253392451200000,1580,749,599,8197021,0.279,0.871,39851.5,0.667,0.606,TSTDA,Studénka,nejblizsi,10.56,15.4,61.6,zakladni,TSTDA,20.8,52.0,zakladni,TSTDA,9.7,24.25,zakladni,TSTDA,3.3,16.5,zakladni,TSTDA,61.6,38.59,50.09,pm25,mirne zhorsene
500062,Krhová,CZ0723,40843,Vsetín,CZ072,3131,Zlínský kraj,1356998400000,253392451200000,1994,933,726,8053496,0.517,0.83,43465.5,0.667,0.671,ZVMZA,Valašské Meziříčí,nejblizsi,3.78,14.7,58.8,zakladni,ZVMZA,19.9,49.75,zakladni,ZVMZA,16.8,42.0,blizka_stanice,ZROZA,3.87,19.36,prumer,,58.8,42.48,50.64,pm25,mirne zhorsene
500071,Poličná,CZ0723,40843,Vsetín,CZ072,3131,Zlínský kraj,1356998400000,253392451200000,1713,761,619,11050090,0.277,0.83,43465.5,0.667,0.591,ZVMZA,Valašské Meziříčí,nejblizsi,2.23,14.7,58.8,zakladni,ZVMZA,19.9,49.75,zakladni,ZVMZA,16.8,42.0,blizka_stanice,ZROZA,3.87,19.36,prumer,,58.8,42.48,50.64,pm25,mirne zhorsene
500101,Bražec,CZ0412,40436,Karlovy Vary,CZ041,3051,Karlovarský kraj,1451606400000,253392451200000,233,95,86,12641896,0.037,0.809,45223.0,,0.423,KKVAM,Karlovy Vary,nejblizsi,16.75,12.72,50.87,prumer,,12.8,32.0,zakladni,KKVAM,13.32,33.29,prumer,,3.87,19.36,prumer,,50.87,33.88,42.38,pm25,dobre
500127,Doupovské Hradiště,CZ0412,40436,Karlovy Vary,CZ041,3051,Karlovarský kraj,1451606400000,253392451200000,158,68,57,20899292,0.108,0.809,45223.0,,0.458,KKVAM,Karlovy Vary,nejblizsi,9.0,12.72,50.87,prumer,,12.8,32.0,zakladni,KKVAM,13.32,33.29,prumer,,3.8,19.0,blizka_stanice,UMEDA,50.87,33.79,42.33,pm25,dobre
500135,Kozlov,CZ0712,40789,Olomouc,CZ071,3123,Olomoucký kraj,1451606400000,253392451200000,328,146,118,45762077,0.056,0.74,51330.0,0.333,0.376,MPHRA,Hranice,nejblizsi,12.5,14.6,58.4,zakladni,MPHRA,21.3,53.25,zakladni,MPHRA,15.5,38.75,zakladni,MPHRA,2.5,12.5,blizka_stanice,MPRRA,58.4,40.73,49.56,pm25,dobre
500151,Luboměř pod Strážnou,CZ0714,40801,Přerov,CZ071,3123,Olomoucký kraj,1451606400000,253392451200000,110,55,48,9580014,0.054,0.885,38661.0,0.667,0.535,TCERA,Červená hora,nejblizsi,13.64,14.7,58.8,blizka_stanice,MBELA,12.4,31.0,blizka_stanice,TCER0,4.4,11.0,zakladni,TCERA,3.87,19.36,prumer,,58.8,30.04,44.42,pm25,dobre
500160,Město Libavá,CZ0712,40789,Olomouc,CZ071,3123,Olomoucký kraj,1451606400000,253392451200000,585,278,221,29327275,0.049,0.74,51330.0,0.333,0.374,TCERA,Červená hora,nejblizsi,5.67,14.6,58.4,blizka_stanice,MVBYA,12.4,31.0,blizka_stanice,TCER0,4.4,11.0,zakladni,TCERA,3.87,19.36,prumer,,58.4,29.94,44.17,pm25,dobre
500194,Polná na Šumavě,CZ0312,40291,Český Krumlov,CZ031,3034,Jihočeský kraj,1451606400000,253392451200000,210,76,61,19121847,0.045,0.809,45283.0,,0.427,CPRAA,Prachatice,nejblizsi,26.79,12.72,50.87,prumer,,12.9,32.25,zakladni,CPRAA,7.9,19.75,zakladni,CPRAA,3.87,19.36,prumer,,50.87,30.56,40.72,pm25,dobre
500259,Veřovice,CZ0804,40894,Nový Jičín,CZ080,3140,Moravskoslezský kraj,983404800000,253392451200000,1975,854,660,16591340,0.216,0.871,39851.5,0.667,0.585,ZROZA,Rožnov pod Radhoštěm,nejblizsi,8.05,15.1,60.4,zakladni,ZROZA,21.7,54.25,zakladni,ZROZA,16.8,42.0,zakladni,ZROZA,3.3,16.5,blizka_stanice,TSTDA,60.4,43.29,51.84,pm25,mirne zhorsene
