idRegistration, startTime, idValueType, value
10221, 2026-03-06T13:00:00Z, 8, 6.9
40237, 2026-03-06T13:00:00Z, 8, 36.4
40238, 2026-03-06T13:00:00Z, 8, 74.4
40244, 2026-03-06T13:00:00Z, 8, 102.3
40257, 2026-03-06T13:00:00Z, 8, 3.2
40259, 2026-03-06T13:00:00Z, 8, 23.0
40260, 2026-03-06T13:00:00Z, 8, 28.5
40261, 2026-03-06T13:00:00Z, 8, 32.6
40279, 2026-03-06T13:00:00Z, 8, 6.7
40281, 2026-03-06T13:00:00Z, 8, 16.6
40282, 2026-03-06T13:00:00Z, 8, 367.0
40283, 2026-03-06T13:00:00Z, 8, 78.6
40284, 2026-03-06T13:00:00Z, 8, 19.9
40285, 2026-03-06T13:00:00Z, 8, 27.7
40288, 2026-03-06T13:00:00Z, 8, 6.4
40308, 2026-03-06T13:00:00Z, 8, 18.6
40309, 2026-03-06T13:00:00Z, 8, 70.8
40310, 2026-03-06T13:00:00Z, 8, 22.2
40311, 2026-03-06T13:00:00Z, 8, 39.3
40316, 2026-03-06T13:00:00Z, 8, 35.4
40331, 2026-03-06T13:00:00Z, 8, 18.4
40338, 2026-03-06T13:00:00Z, 8, 5.3
40340, 2026-03-06T13:00:00Z, 8, 9.6
40341, 2026-03-06T13:00:00Z, 8, 81.8
40342, 2026-03-06T13:00:00Z, 8, 11.9
40343, 2026-03-06T13:00:00Z, 8, 25.7
40352, 2026-03-06T13:00:00Z, 8, 15.7
40354, 2026-03-06T13:00:00Z, 8, 88.2
40355, 2026-03-06T13:00:00Z, 8, 18.2
40356, 2026-03-06T13:00:00Z, 8, 41.6
40369, 2026-03-06T13:00:00Z, 8, 29.0
40406, 2026-03-06T13:00:00Z, 8, 5.1
40408, 2026-03-06T13:00:00Z, 8, 13.8
40410, 2026-03-06T13:00:00Z, 8, 85.8
40411, 2026-03-06T13:00:00Z, 8, 16.3
40412, 2026-03-06T13:00:00Z, 8, 15.5
40419, 2026-03-06T13:00:00Z, 8, 11.7
40448, 2026-03-06T13:00:00Z, 8, 6.3
40450, 2026-03-06T13:00:00Z, 8, 7.7
40451, 2026-03-06T13:00:00Z, 8, 20.8
40507, 2026-03-06T13:00:00Z, 8, 104.1
40522, 2026-03-06T13:00:00Z, 8, 8.9
40528, 2026-03-06T13:00:00Z, 8, 4.3
40530, 2026-03-06T13:00:00Z, 8, 17.2
40532, 2026-03-06T13:00:00Z, 8, 82.6
40533, 2026-03-06T13:00:00Z, 8, 23.0
40534, 2026-03-06T13:00:00Z, 8, 23.1
40541, 2026-03-06T13:00:00Z, 8, 13.4
40542, 2026-03-06T13:00:00Z, 8, 1.3
40544, 2026-03-06T13:00:00Z, 8, 4.2
40545, 2026-03-06T13:00:00Z, 8, 97.0
40546, 2026-03-06T13:00:00Z, 8, 5.0
40555, 2026-03-06T13:00:00Z, 8, 1.3
40557, 2026-03-06T13:00:00Z, 8, 17.4
40559, 2026-03-06T13:00:00Z, 8, 90.2
40560, 2026-03-06T13:00:00Z, 8, 20.1
40561, 2026-03-06T13:00:00Z, 8, 64.7
40604, 2026-03-06T13:00:00Z, 8, 3.5
40606, 2026-03-06T13:00:00Z, 8, 13.8
40607, 2026-03-06T13:00:00Z, 8, 15.5
40608, 2026-03-06T13:00:00Z, 8, 23.6
40614, 2026-03-06T13:00:00Z, 8, 9.6
40615, 2026-03-06T13:00:00Z, 8, 11.7
40616, 2026-03-06T13:00:00Z, 8, 15.9
40626, 2026-03-06T13:00:00Z, 8, 63.0
40630, 2026-03-06T13:00:00Z, 8, 3.2
40632, 2026-03-06T13:00:00Z, 8, 15.5
40634, 2026-03-06T13:00:00Z, 8, 18.9
40635, 2026-03-06T13:00:00Z, 8, 35.7
40649, 2026-03-06T13:00:00Z, 8, 4.0
40651, 2026-03-06T13:00:00Z, 8, 11.7
40652, 2026-03-06T13:00:00Z, 8, 14.0
40653, 2026-03-06T13:00:00Z, 8, 18.9
40657, 2026-03-06T13:00:00Z, 8, 19.1
40658, 2026-03-06T13:00:00Z, 8, 1.3
40660, 2026-03-06T13:00:00Z, 8, 3.3
40661, 2026-03-06T13:00:00Z, 8, 94.8
40662, 2026-03-06T13:00:00Z, 8, 4.2
40663, 2026-03-06T13:00:00Z, 8, 11.9
40686, 2026-03-06T13:00:00Z, 8, 1.3
40690, 2026-03-06T13:00:00Z, 8, 95.6
40692, 2026-03-06T13:00:00Z, 8, 17.0
40693, 2026-03-06T13:00:00Z, 8, 1.3
40695, 2026-03-06T13:00:00Z, 8, 6.3
40696, 2026-03-06T13:00:00Z, 8, 92.4
